,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
224,224,True,0.58,0,12,0.7799999999999999,0.0,0.0,-0.19999999999999998,0.0,0.0
225,225,True,0.48,0,8,0.73,0.0,0.0,-0.25,0.0,0.0
226,226,True,4.6000000000000005,0,4,0.6736520409584046,0.0,0.0,3.9263479590415957,0.0,0.0
227,227,True,0.6599999999999999,0,6,0.82,0.0,0.0,-0.15999999999999998,0.0,0.0
228,228,True,0.5599999999999998,0,16,-0.21000000000000002,0.0,0.0,0.7699999999999999,0.0,0.0
229,229,True,4.460000000000001,0,28,4.252092342376709,0.0,0.0,0.207907657623291,0.0,0.0
230,230,True,4.68,0,6,4.123683598041534,0.0,0.0,0.5563164019584655,0.0,0.0
231,231,True,4.5600000000000005,0,12,-0.22000000000000003,0.0,0.0,4.78,0.0,0.0
232,232,True,0.4599999999999999,0,36,0.72,0.0,0.0,-0.26000000000000006,0.99,0.0
233,233,True,4.42,0,6,4.71,0.0,0.0,-0.29,0.0,0.0
234,234,True,0.76,0,6,0.87,0.0,0.0,-0.10999999999999999,0.99,0.0
235,235,True,4.34,0,30,0.10112945556640629,0.0,0.0,4.238870544433594,0.0,0.0
236,236,True,0.2999999999999998,0,30,0.6399999999999999,0.0,0.0,-0.3400000000000001,0.0,0.0
237,237,True,4.380000000000001,0,22,-0.31000000000000005,0.0,0.0,4.69,0.0,0.0
238,238,True,4.220000000000001,0,36,-0.39,0.0,0.0,4.61,0.0,0.0
239,239,True,0.5,0,14,0.74,0.0,0.0,-0.24,0.99,0.0
240,240,True,0.23999999999999977,0,40,0.6099999999999999,0.0,0.0,-0.3700000000000001,0.0,0.0
241,241,True,4.300000000000001,0,30,-0.35,0.0,0.0,4.65,0.0,0.0
242,242,True,0.5399999999999998,0,18,-0.22000000000000003,0.0,0.0,0.7599999999999999,0.0,0.0
243,243,True,4.5,0,14,3.6143652200698853,0.0,0.0,0.8856347799301147,0.0,0.0
244,244,True,4.44,0,8,3.5294451129436495,0.0,0.0,0.9105548870563507,0.0,0.0
245,245,True,4.4799999999999995,0,20,0.6000003123283385,0.0,0.0,3.879999687671661,0.0,0.0
246,246,True,4.0,0,40,-0.5000000000000001,0.0,0.0,4.5,0.0,0.0
247,247,True,0.56,0,10,-0.21000000000000002,0.0,0.0,0.77,0.0,0.0
248,248,True,0.5399999999999998,0,18,0.7599999999999999,0.0,0.0,-0.22000000000000003,0.0,0.0
249,249,True,0.09999999999999987,0,36,0.5399999999999999,0.0,0.0,-0.44000000000000006,0.0,0.0
